,Index,Date,Year,Month,Amount,Label,Account,Description,Category
537,537,3/01/2022,2022,03-Mar,62.88,Interest Income,STATEMENT SAVINGS,INTEREST PAID 12/01 THROUGH 12/31,Income
538,538,9/01/2021,2021,09-Sep,69.56,Uncategorized,Checking,Venmo,Uncategorized
539,539,3/01/2020,2020,03-Mar,-24.63,Eyecare,Citi,WARBY PARKER 8884927297 NY,Medical/Healthcare
540,540,11/01/2022,2022,11-Nov,-80.34,Food & Dining,Checking,Venmo Cashout Ppd,Take-Out
541,541,6/01/2021,2021,06-Jun,-47.8,Income,Checking,Venmo Cashout Ppd,Income
542,542,3/01/2022,2022,03-Mar,-55.29,Groceries,Chase,Whole Foods,Groceries
543,543,2/01/2021,2021,02-Feb,31.46,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
544,544,4/01/2022,2022,04-Apr,-68.35,Shopping,Chase,Amazon,Personal Expenses
545,545,12/01/2020,2020,12-Dec,-42.58,Income,Checking,COMMONWEALTH OF UM PAYROLL 201219 PPD,Income
546,546,1/01/2021,2021,01-Jan,27.55,Shopping,Chase,Amazon,Personal Expenses
547,547,5/01/2020,2020,05-May,-91.47,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 201222 PPD,Ignore
548,548,5/01/2021,2021,05-May,-66.31,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
549,549,11/01/2022,2022,11-Nov,-64.91,Fast Food,Citi,Sweetgreen,Take-Out
550,550,8/01/2020,2020,08-Aug,-2.86,Shopping,Chase,Amazon,Personal Expenses
551,551,11/01/2021,2021,11-Nov,7.93,Groceries,Chase,Whole Foods,Groceries
552,552,3/01/2020,2020,03-Mar,-6.9,Furnishings,Citi,Bed Bath & Beyond,Household
553,553,12/01/2020,2020,12-Dec,-18.77,Furnishings,Citi,Bed Bath & Beyond,Household
554,554,5/01/2021,2021,05-May,77.04,Furnishings,Citi,Bed Bath & Beyond,Household
555,555,4/01/2021,2021,04-Apr,91.86,Furnishings,Citi,Bed Bath & Beyond,Household
556,556,3/01/2022,2022,03-Mar,89.73,Food & Dining,Citi,GrubHub,Take-Out
557,557,11/01/2020,2020,11-Nov,-72.3,Food & Dining,Citi,GrubHub,Take-Out
558,558,6/01/2020,2020,06-Jun,-93.59,Income,Checking,COMMONWEALTH OF UM PAYROLL 201205 PPD,Income
559,559,9/01/2022,2022,09-Sep,75.5,Groceries,Chase,Whole Foods,Groceries
560,560,6/01/2020,2020,06-Jun,57.34,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
561,561,11/01/2020,2020,11-Nov,98.25,Fast Food,Citi,TENOCH MELROSE gosq.com MA,Take-Out
562,562,12/01/2020,2020,12-Dec,-84.21,Income,Citi,Sp Hercules Candy,Income
563,563,11/01/2022,2022,11-Nov,48.55,Food & Dining,Citi,GrubHub,Take-Out
564,564,11/01/2022,2022,11-Nov,68.07,Music,Citi,Spotify,Entertainment
565,565,6/01/2021,2021,06-Jun,-81.74,Travel,Citi,FOREIGN TRANSACTION FEE,Vacation/Travel
566,566,10/01/2020,2020,10-Oct,-4.87,Clothing,Citi,SP * HERCULES CANDY CO 3154634339 NY,Clothing
567,567,11/01/2022,2022,11-Nov,77.29,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 201201 WEB,Ignore
568,568,8/01/2021,2021,08-Aug,91.62,Income,Citi,Autopay Rautopay Auto,Income
569,569,11/01/2022,2022,11-Nov,-17.54,Fees & Charges,Checking,Venmo,Personal Expenses
570,570,9/01/2021,2021,09-Sep,-47.7,Food & Dining,Citi,GrubHub,Take-Out
571,571,2/01/2022,2022,02-Feb,37.75,Interest Income,STATEMENT SAVINGS,INTEREST PAID 11/01 THROUGH 11/30,Income
572,572,7/01/2020,2020,07-Jul,73.3,Income,Checking,COMMONWEALTH OF UM PAYROLL 201121 PPD,Income
573,573,3/01/2020,2020,03-Mar,54.44,Electronics & Software,Citi,INSYNC 8778877815 CA,Personal Expenses
574,574,9/01/2021,2021,09-Sep,11.71,Income,Checking,Venmo Cashout Ppd,Income
575,575,6/01/2020,2020,06-Jun,-84.32,Business Services,Citi,NOUNPROJECT.COM 8778877815 CA,Personal Expenses
576,576,1/01/2020,2020,01-Jan,-8.59,Food & Dining,Citi,GrubHub,Take-Out
577,577,5/01/2022,2022,05-May,-13.88,Groceries,Chase,Whole Foods,Groceries
578,578,5/01/2021,2021,05-May,66.21,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 201122 PPD,Ignore
579,579,1/01/2022,2022,01-Jan,-99.26,Pharmacy,Citi,CVS,Medical/Healthcare
580,580,7/01/2022,2022,07-Jul,-26.58,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
581,581,3/01/2020,2020,03-Mar,34.25,Food & Dining,Citi,GrubHub,Take-Out
582,582,3/01/2021,2021,03-Mar,23.45,Income,Checking,COMMONWEALTH OF UM PAYROLL 201107 PPD,Income
583,583,7/01/2020,2020,07-Jul,-78.52,Electronics & Software,Citi,OWL FOR THUNDERBIRD WIESBADEN DEU,Personal Expenses
584,584,4/01/2022,2022,04-Apr,-31.64,Groceries,Chase,Whole Foods,Groceries
585,585,5/01/2020,2020,05-May,-69.24,Food & Dining,Citi,GrubHub,Take-Out
586,586,4/01/2020,2020,04-Apr,47.24,Groceries,Chase,Whole Foods,Groceries
587,587,1/01/2021,2021,01-Jan,-7.16,Pharmacy,Citi,CVS,Medical/Healthcare
588,588,4/01/2020,2020,04-Apr,48.06,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
589,589,11/01/2020,2020,11-Nov,52.9,Restaurants,Citi,Grabull Inc,Take-Out
590,590,1/01/2022,2022,01-Jan,-46.09,Groceries,Chase,Whole Foods,Groceries
591,591,5/01/2020,2020,05-May,92.63,Music,Citi,Spotify,Entertainment
592,592,5/01/2022,2022,05-May,-50.48,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 201102 WEB,Ignore
593,593,5/01/2021,2021,05-May,-15.38,Income,Citi,Autopay Rautopay Auto,Income
594,594,3/01/2021,2021,03-Mar,-42.71,Tuition,Citi,Udemy,Education
595,595,3/01/2022,2022,03-Mar,-10.82,Food & Dining,Citi,GrubHub,Take-Out
596,596,11/01/2022,2022,11-Nov,96.21,Interest Income,STATEMENT SAVINGS,INTEREST PAID 10/01 THROUGH 10/31,Income
597,597,8/01/2020,2020,08-Aug,67.31,Income,Checking,COMMONWEALTH OF UM PAYROLL 201024 PPD,Income
598,598,7/01/2022,2022,07-Jul,54.85,Groceries,Chase,Whole Foods,Groceries
599,599,6/01/2020,2020,06-Jun,42.97,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
600,600,2/01/2020,2020,02-Feb,-3.8,Restaurants,Citi,Grabull Inc,Take-Out
601,601,7/01/2021,2021,07-Jul,-89.49,Food & Dining,Citi,GrubHub,Take-Out
602,602,2/01/2020,2020,02-Feb,-77.61,Income,Checking,COMMONWEALTH OF UM PAYROLL 201010 PPD,Income
603,603,9/01/2022,2022,09-Sep,66.81,Restaurants,Citi,Grabull Inc,Take-Out
604,604,9/01/2021,2021,09-Sep,3.97,Groceries,Chase,Whole Foods,Groceries
605,605,9/01/2021,2021,09-Sep,31.16,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
606,606,7/01/2022,2022,07-Jul,24.43,Groceries,Chase,Whole Foods,Groceries
607,607,12/01/2022,2022,12-Dec,52.86,Tuition,Citi,Udemy,Education
608,608,4/01/2021,2021,04-Apr,9.74,Restaurants,Citi,Grabull Inc,Take-Out
609,609,2/01/2022,2022,02-Feb,3.17,Credit Card Payment,Checking,CITI CARD ONLINE PAYMENT 201004 WEB,Ignore
610,610,7/01/2021,2021,07-Jul,6.37,Credit Card Payment,Checking,CHASE CREDIT CRD EPAY 201004 WEB,Ignore
611,611,4/01/2021,2021,04-Apr,-14.71,Credit Card Payment,Citi,"ONLINE PAYMENT, THANK YOU",Ignore
612,612,10/01/2021,2021,10-Oct,92.5,Music,Citi,Spotify,Entertainment
613,613,12/01/2022,2022,12-Dec,67.24,Credit Card Payment,Chase,Payment Thank You-Mobile,Ignore
614,614,8/01/2020,2020,08-Aug,54.83,Groceries,Chase,Whole Foods,Groceries
615,615,5/01/2020,2020,05-May,90.92,Income,Checking,COMMONWEALTH OF UM PAYROLL 200926 PPD,Income
616,616,5/01/2022,2022,05-May,81.75,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 201001 WEB,Ignore
617,617,6/01/2020,2020,06-Jun,4.49,Restaurants,Citi,Grabull Inc,Take-Out
618,618,5/01/2021,2021,05-May,-98.01,Income,Citi,Autopay Rautopay Auto,Income
619,619,3/01/2021,2021,03-Mar,-0.09,Shopping,Chase,Amazon,Personal Expenses
620,620,5/01/2022,2022,05-May,-59.38,Interest Income,STATEMENT SAVINGS,INTEREST PAID 09/01 THROUGH 09/30,Income
621,621,4/01/2021,2021,04-Apr,-48.96,Business Services,Citi,MACKS APPLES LONDONDERRY NH,Personal Expenses
622,622,4/01/2021,2021,04-Apr,-31.18,Electronics & Software,Citi,WWW.WOLFRAMALPHA.COM 8009653726 IL,Personal Expenses
623,623,12/01/2022,2022,12-Dec,42.53,Food & Dining,Citi,GrubHub,Take-Out
624,624,10/01/2022,2022,10-Oct,-29.42,Income,Checking,Venmo Cashout Ppd,Income
625,625,1/01/2022,2022,01-Jan,50.91,Groceries,Chase,Whole Foods,Groceries
626,626,6/01/2021,2021,06-Jun,6.36,Shopping,Chase,Amazon,Personal Expenses
627,627,2/01/2021,2021,02-Feb,-53.83,Clothing,Citi,TEST MATERIALS WASHINGTON DC,Clothing
628,628,7/01/2020,2020,07-Jul,-80.97,Food & Dining,Citi,ROBIN PRO MUSCLE 855-9323396 UT,Take-Out
629,629,10/01/2021,2021,10-Oct,-69.13,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
630,630,2/01/2020,2020,02-Feb,92.23,Income,Checking,COMMONWEALTH OF UM PAYROLL 200912 PPD,Income
631,631,5/01/2021,2021,05-May,11.01,Home Improvement,Citi,SECURITY CREDIT-ITEM UNDER INVESTIGATION,Household
632,632,10/01/2020,2020,10-Oct,3.91,Shopping,Chase,Amazon,Personal Expenses
633,633,6/01/2021,2021,06-Jun,54.34,Food & Dining,Citi,GrubHub,Take-Out
634,634,11/01/2021,2021,11-Nov,88.85,Food & Dining,Citi,GrubHub,Take-Out
635,635,11/01/2020,2020,11-Nov,81.04,Shopping,Chase,Amazon,Personal Expenses
636,636,3/01/2022,2022,03-Mar,38.47,Shopping,Chase,Amazon,Personal Expenses
637,637,6/01/2020,2020,06-Jun,-95.96,Groceries,Chase,Whole Foods,Groceries
638,638,8/01/2020,2020,08-Aug,59.34,Food & Dining,Citi,GrubHub,Take-Out
639,639,3/01/2022,2022,03-Mar,-64.14,Food & Dining,Citi,GrubHub,Take-Out
640,640,10/01/2021,2021,10-Oct,41.9,Shopping,Chase,Amazon,Personal Expenses
641,641,12/01/2022,2022,12-Dec,80.51,Shopping,Citi,Wal-Mart,Personal Expenses
642,642,4/01/2020,2020,04-Apr,84.28,Shopping,Citi,Wal-Mart,Personal Expenses
643,643,3/01/2022,2022,03-Mar,-56.34,Shopping,Chase,Amazon,Personal Expenses
644,644,3/01/2021,2021,03-Mar,73.79,Personal Care,Citi,ASUTRA 7736287751 IL,Medical/Healthcare
645,645,11/01/2022,2022,11-Nov,47.48,Personal Care,Citi,ASUTRA 7736287751 IL,Medical/Healthcare
646,646,12/01/2020,2020,12-Dec,19.61,Income,Checking,Venmo Cashout Ppd,Income
647,647,4/01/2022,2022,04-Apr,6.2,Restaurants,Citi,TST* THREE AMIGOS 617-435-7128 MA,Take-Out
648,648,9/01/2021,2021,09-Sep,37.93,Restaurants,Citi,TST* THREE AMIGOS 617-435-7128 MA,Take-Out
649,649,11/01/2020,2020,11-Nov,-25.91,Food & Dining,Citi,GrubHub,Take-Out
650,650,4/01/2020,2020,04-Apr,-79.34,Food & Dining,Citi,GrubHub,Take-Out
651,651,12/01/2022,2022,12-Dec,10.96,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
652,652,11/01/2022,2022,11-Nov,-27.63,Music,Citi,Spotify,Entertainment
653,653,12/01/2022,2022,12-Dec,77.25,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
654,654,1/01/2021,2021,01-Jan,-5.7,Music,Citi,Spotify,Entertainment
655,655,8/01/2022,2022,08-Aug,34.38,Shopping,Chase,Amazon,Personal Expenses
656,656,11/01/2022,2022,11-Nov,-85.11,Groceries,Chase,Whole Foods,Groceries
657,657,1/01/2022,2022,01-Jan,-90.67,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 200901 WEB,Ignore
658,658,6/01/2021,2021,06-Jun,-15.93,Food & Dining,Citi,GrubHub,Take-Out
659,659,2/01/2020,2020,02-Feb,-25.67,Income,Citi,Autopay Rautopay Auto,Income
660,660,9/01/2022,2022,09-Sep,81.76,Food & Dining,Citi,GrubHub,Take-Out
661,661,2/01/2021,2021,02-Feb,-25.93,Income,Citi,Autopay Rautopay Auto,Income
662,662,8/01/2022,2022,08-Aug,16.17,Shopping,Chase,Amazon,Personal Expenses
663,663,3/01/2021,2021,03-Mar,43.49,Food & Dining,Citi,GrubHub,Take-Out
664,664,5/01/2022,2022,05-May,-50.34,Food & Dining,Citi,GrubHub,Take-Out
665,665,7/01/2020,2020,07-Jul,26.2,Interest Income,STATEMENT SAVINGS,INTEREST PAID 08/01 THROUGH 08/31,Income
666,666,2/01/2021,2021,02-Feb,-97.68,Restaurants,Citi,Wood & Fire,Take-Out
667,667,8/01/2021,2021,08-Aug,-59.2,Groceries,Chase,Whole Foods,Groceries
668,668,4/01/2022,2022,04-Apr,-40.85,Restaurants,Citi,Wood & Fire,Take-Out
669,669,5/01/2020,2020,05-May,-65.24,Shopping,Chase,Amazon,Personal Expenses
670,670,1/01/2021,2021,01-Jan,30.38,Shopping,Citi,Wal-Mart,Personal Expenses
671,671,2/01/2022,2022,02-Feb,49.68,Office Supplies,Citi,Inkfarm.com,Office
672,672,1/01/2022,2022,01-Jan,49.42,Shopping,Citi,Wal-Mart,Personal Expenses
673,673,7/01/2020,2020,07-Jul,-5.66,Office Supplies,Citi,Inkfarm.com,Office
674,674,12/01/2021,2021,12-Dec,-48.64,Income,Checking,Venmo Cashout Ppd,Income
675,675,4/01/2020,2020,04-Apr,-36.46,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 200821 PPD,Ignore
676,676,5/01/2021,2021,05-May,-62.59,Uncategorized,Checking,Venmo,Uncategorized
677,677,10/01/2020,2020,10-Oct,63.7,Office Supplies,Citi,FLEXISPOT 5102576001 CA,Office
678,678,10/01/2020,2020,10-Oct,27.51,Office Supplies,Citi,FLEXISPOT 5102576001 CA,Office
679,679,2/01/2021,2021,02-Feb,-29.92,Alcohol & Bars,Citi,Liquor Junction,Alcohol
680,680,2/01/2022,2022,02-Feb,96.06,Shopping,Citi,Target,Personal Expenses
681,681,4/01/2022,2022,04-Apr,45.39,Income,Checking,COMMONWEALTH OF UM PAYROLL 200815 PPD,Income
682,682,11/01/2022,2022,11-Nov,93.27,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
683,683,4/01/2022,2022,04-Apr,34.41,Shopping,Chase,Amazon,Personal Expenses
684,684,4/01/2020,2020,04-Apr,4.67,Shopping,Chase,Amazon,Personal Expenses
685,685,12/01/2020,2020,12-Dec,21.28,Shopping,Citi,Target,Personal Expenses
686,686,4/01/2021,2021,04-Apr,-31.54,Parking,Citi,DCR PAY & DISPLAY BOSTON MA,Car
687,687,11/01/2021,2021,11-Nov,-77.67,Groceries,Citi,Market Basket,Groceries
688,688,12/01/2021,2021,12-Dec,-69.16,Gas & Fuel,Citi,Exxon,Gas
689,689,10/01/2021,2021,10-Oct,47.25,Shopping,Citi,Target,Personal Expenses
690,690,1/01/2021,2021,01-Jan,-1.84,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
691,691,12/01/2020,2020,12-Dec,-47.6,Gifts & Donations,Citi,SOC FOR EXPER MECH 203-790-6373 CT,Gifts
692,692,1/01/2021,2021,01-Jan,54.49,Pharmacy,Citi,CVS,Medical/Healthcare
693,693,11/01/2021,2021,11-Nov,-0.15,Groceries,Citi,Whole Foods,Groceries
694,694,2/01/2022,2022,02-Feb,27.66,Income,Checking,Venmo Cashout Ppd,Income
695,695,1/01/2022,2022,01-Jan,-64.12,Shopping,Chase,Amazon,Personal Expenses
696,696,9/01/2022,2022,09-Sep,64.24,Food & Dining,Citi,GrubHub,Take-Out
697,697,5/01/2021,2021,05-May,-51.11,Shopping,Citi,ORAL B 8005667252 OH,Personal Expenses
698,698,9/01/2020,2020,09-Sep,25.92,Food & Dining,Citi,GrubHub,Take-Out
699,699,3/01/2022,2022,03-Mar,-94.66,Groceries,Citi,Harper's Farm & Garden,Groceries
700,700,3/01/2020,2020,03-Mar,94.72,Income,Checking,COMMONWEALTH OF UM PAYROLL 200801 PPD,Income
701,701,4/01/2021,2021,04-Apr,-8.53,Electronics & Software,Citi,MICRO CENTER BETHEL RD 800-634-3478 OH,Personal Expenses
702,702,6/01/2020,2020,06-Jun,68.67,Service Fee,Citi,MEMBERSHIP FEE AUG 20-JUL 21,Personal Expenses
703,703,6/01/2020,2020,06-Jun,-87.0,Music,Citi,Spotify,Entertainment
704,704,10/01/2022,2022,10-Oct,17.55,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 200803 WEB,Ignore
705,705,2/01/2020,2020,02-Feb,97.53,Food & Dining,Citi,GrubHub,Take-Out
706,706,4/01/2022,2022,04-Apr,-30.62,Income,Checking,Venmo Cashout Ppd,Income
707,707,2/01/2020,2020,02-Feb,-21.61,Income,Citi,Autopay Rautopay Auto,Income
708,708,4/01/2021,2021,04-Apr,-35.2,Interest Income,STATEMENT SAVINGS,INTEREST PAID 07/01 THROUGH 07/31,Income
709,709,2/01/2022,2022,02-Feb,84.55,Groceries,Chase,Whole Foods,Groceries
710,710,2/01/2021,2021,02-Feb,-10.98,Alcohol & Bars,Citi,Wine & Spirits,Alcohol
711,711,12/01/2021,2021,12-Dec,-86.71,Food & Dining,Citi,GrubHub,Take-Out
712,712,9/01/2020,2020,09-Sep,82.98,Alcohol & Bars,Citi,DRUM HILL LIQUOR MART CHELMSFORD MA,Alcohol
713,713,12/01/2020,2020,12-Dec,0.87,Gas & Fuel,Citi,Exxon,Gas
714,714,12/01/2022,2022,12-Dec,45.81,Alcohol & Bars,Citi,DRUM HILL LIQUOR MART CHELMSFORD MA,Alcohol
715,715,1/01/2020,2020,01-Jan,85.67,Income,Checking,COMMONWEALTH OF UM PAYROLL 200718 PPD,Income
716,716,4/01/2021,2021,04-Apr,4.45,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 200722 PPD,Ignore
717,717,4/01/2021,2021,04-Apr,-33.14,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
718,718,10/01/2020,2020,10-Oct,77.78,Food & Dining,Citi,GrubHub,Take-Out
719,719,7/01/2022,2022,07-Jul,54.32,Food & Dining,Citi,GrubHub,Take-Out
720,720,7/01/2022,2022,07-Jul,60.09,Groceries,Chase,Whole Foods,Groceries
721,721,7/01/2021,2021,07-Jul,90.13,Groceries,Chase,Whole Foods,Groceries
722,722,5/01/2021,2021,05-May,81.44,Food & Dining,Citi,GrubHub,Take-Out
723,723,9/01/2022,2022,09-Sep,69.27,Income,Checking,COMMONWEALTH OF UM PAYROLL 200704 PPD,Income
724,724,6/01/2020,2020,06-Jun,-99.75,Food & Dining,Citi,GrubHub,Take-Out
725,725,11/01/2021,2021,11-Nov,14.71,Food & Dining,Citi,GrubHub,Take-Out
726,726,6/01/2022,2022,06-Jun,6.22,Shopping,Chase,Amazon,Personal Expenses
727,727,3/01/2022,2022,03-Mar,-27.38,Food & Dining,Citi,GrubHub,Take-Out
728,728,9/01/2022,2022,09-Sep,98.23,Music,Citi,Spotify,Entertainment
729,729,8/01/2022,2022,08-Aug,-41.57,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 200701 WEB,Ignore
730,730,6/01/2022,2022,06-Jun,-95.47,Income,Citi,Autopay Rautopay Auto,Income
731,731,12/01/2020,2020,12-Dec,24.8,Entertainment,Citi,NYTIMES 8006984637 NY,Entertainment
732,732,1/01/2021,2021,01-Jan,31.33,Interest Income,STATEMENT SAVINGS,INTEREST PAID 06/01 THROUGH 06/30,Income
733,733,6/01/2022,2022,06-Jun,-71.95,Shopping,Chase,Amazon,Personal Expenses
734,734,5/01/2021,2021,05-May,64.09,Food & Dining,Citi,GrubHub,Take-Out
735,735,9/01/2021,2021,09-Sep,40.01,Food & Dining,Citi,GrubHub,Take-Out
736,736,1/01/2022,2022,01-Jan,46.65,Income,Checking,COMMONWEALTH OF UM PAYROLL 200620 PPD,Income
737,737,4/01/2020,2020,04-Apr,-27.32,Shopping,Chase,Amazon,Personal Expenses
738,738,11/01/2022,2022,11-Nov,15.87,Alcohol & Bars,Citi,Liquor Junction,Alcohol
739,739,4/01/2022,2022,04-Apr,24.43,Groceries,Citi,Whole Foods,Groceries
740,740,5/01/2021,2021,05-May,36.02,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 200622 PPD,Ignore
741,741,5/01/2020,2020,05-May,64.15,Uncategorized,Checking,Venmo,Uncategorized
742,742,5/01/2021,2021,05-May,28.18,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
743,743,9/01/2021,2021,09-Sep,-41.65,Food & Dining,Citi,GrubHub,Take-Out
744,744,6/01/2021,2021,06-Jun,72.48,Shopping,Chase,Amazon,Personal Expenses
745,745,7/01/2020,2020,07-Jul,-40.27,Food & Dining,Citi,GrubHub,Take-Out
746,746,9/01/2020,2020,09-Sep,-85.14,Shopping,Chase,Amazon,Personal Expenses
747,747,2/01/2021,2021,02-Feb,10.67,Groceries,Citi,Harper's Farm & Garden,Groceries
748,748,1/01/2020,2020,01-Jan,-89.35,Groceries,Citi,Whole Foods,Groceries
749,749,9/01/2021,2021,09-Sep,-33.15,Income,Checking,COMMONWEALTH OF UM PAYROLL 200606 PPD,Income
750,750,6/01/2022,2022,06-Jun,-86.18,Restaurants,Citi,TST* EGGROLL CAFE 978-970-3411 MA,Take-Out
751,751,11/01/2021,2021,11-Nov,33.69,Income,Checking,MOBILE DEPOSIT,Income
752,752,3/01/2022,2022,03-Mar,-65.37,Shopping,Citi,DOUBLESHOT COFFEE CO L TULSA OK,Personal Expenses
753,753,8/01/2020,2020,08-Aug,-90.68,Music,Citi,Spotify,Entertainment
754,754,9/01/2020,2020,09-Sep,-40.14,Food & Dining,Citi,GrubHub,Take-Out
755,755,3/01/2020,2020,03-Mar,96.29,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 200601 WEB,Ignore
756,756,4/01/2020,2020,04-Apr,-11.17,Income,Checking,MOBILE DEPOSIT,Income
757,757,7/01/2022,2022,07-Jul,-66.8,Entertainment,Citi,NYTIMES 8006984637 NY,Entertainment
758,758,4/01/2021,2021,04-Apr,71.08,Income,Citi,Autopay Rautopay Auto,Income
759,759,6/01/2020,2020,06-Jun,-71.92,Shopping,Chase,Amazon,Personal Expenses
760,760,9/01/2021,2021,09-Sep,-24.35,Interest Income,STATEMENT SAVINGS,INTEREST PAID 05/01 THROUGH 05/31,Income
761,761,5/01/2021,2021,05-May,66.89,Groceries,Citi,Whole Foods,Groceries
762,762,3/01/2020,2020,03-Mar,15.14,Food & Dining,Citi,GrubHub,Take-Out
763,763,11/01/2020,2020,11-Nov,-71.71,Food & Dining,Citi,GrubHub,Take-Out
764,764,11/01/2022,2022,11-Nov,70.41,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 200522 PPD,Ignore
765,765,9/01/2022,2022,09-Sep,-74.63,Income,Checking,Venmo Cashout Ppd,Income
766,766,2/01/2020,2020,02-Feb,-44.09,Gas & Fuel,Citi,Exxon,Gas
767,767,3/01/2021,2021,03-Mar,28.31,Coffee Shops,Citi,Market Basket,Coffee
768,768,11/01/2021,2021,11-Nov,15.39,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
769,769,5/01/2022,2022,05-May,-74.56,Shopping,Chase,Amazon,Personal Expenses
770,770,7/01/2021,2021,07-Jul,14.72,Food & Dining,Citi,GrubHub,Take-Out
771,771,3/01/2021,2021,03-Mar,97.9,Shopping,Chase,Amazon,Personal Expenses
772,772,4/01/2020,2020,04-Apr,-32.07,Shopping,Chase,Amazon,Personal Expenses
773,773,7/01/2021,2021,07-Jul,88.79,Shopping,Chase,Amazon,Personal Expenses
774,774,7/01/2022,2022,07-Jul,-92.13,Food & Dining,Citi,GrubHub,Take-Out
775,775,11/01/2022,2022,11-Nov,-57.15,Shopping,Chase,Amazon,Personal Expenses
776,776,2/01/2021,2021,02-Feb,76.1,Income,Checking,Venmo Cashout Ppd,Income
777,777,3/01/2020,2020,03-Mar,-12.11,Food & Dining,Citi,GrubHub,Take-Out
778,778,10/01/2021,2021,10-Oct,53.81,Restaurants,Citi,PITA RESTAURANT CHELMSFORD MA,Take-Out
779,779,11/01/2022,2022,11-Nov,34.83,Food & Dining,Citi,GrubHub,Take-Out
780,780,4/01/2022,2022,04-Apr,16.87,Entertainment,Citi,NYTIMES 8006984637 NY,Entertainment
781,781,1/01/2020,2020,01-Jan,-92.21,Food & Dining,Citi,GrubHub,Take-Out
782,782,7/01/2022,2022,07-Jul,51.36,Music,Citi,Spotify,Entertainment
783,783,5/01/2020,2020,05-May,82.77,Credit Card Payment,Checking,CITI AUTOPAY PAYMENT 200501 WEB,Ignore
784,784,3/01/2020,2020,03-Mar,94.59,Income,Citi,Autopay Rautopay Auto,Income
785,785,5/01/2022,2022,05-May,-95.19,Food & Dining,Citi,GrubHub,Take-Out
786,786,5/01/2021,2021,05-May,-62.95,Interest Income,STATEMENT SAVINGS,INTEREST PAID 04/01 THROUGH 04/30,Income
787,787,7/01/2020,2020,07-Jul,-39.06,Income,Checking,Venmo Cashout Ppd,Income
788,788,2/01/2021,2021,02-Feb,-75.53,Food & Dining,Citi,GrubHub,Take-Out
789,789,4/01/2022,2022,04-Apr,-73.75,Fees & Charges,Chase,Amazon,Personal Expenses
790,790,4/01/2021,2021,04-Apr,94.16,Electronics & Software,Citi,GRAMMARLY CO6EO7UBV 8883186146 CA,Personal Expenses
791,791,9/01/2021,2021,09-Sep,-6.71,Shopping,Chase,Amazon,Personal Expenses
792,792,3/01/2021,2021,03-Mar,-34.58,Credit Card Payment,Checking,CHASE CREDIT CRD AUTOPAY 200422 PPD,Ignore
793,793,2/01/2022,2022,02-Feb,-64.54,Credit Card Payment,Chase,AUTOMATIC PAYMENT - THANK,Ignore
794,794,3/01/2020,2020,03-Mar,45.98,Food & Dining,Citi,GrubHub,Take-Out
795,795,9/01/2020,2020,09-Sep,-40.3,Food & Dining,Citi,GrubHub,Take-Out
796,796,5/01/2021,2021,05-May,-28.15,Food & Dining,Citi,GrubHub,Take-Out
797,797,1/01/2022,2022,01-Jan,99.5,Food & Dining,Citi,GrubHub,Take-Out
798,798,12/01/2022,2022,12-Dec,-82.0,Movies & DVDs,Chase,Prime Video*6X4EF73R3,Personal Expenses
799,799,9/01/2022,2022,09-Sep,-47.73,Income,Checking,Internal Revenue Service,Income
800,800,12/01/2021,2021,12-Dec,86.72,Movies & DVDs,Chase,Prime Video*4A5GC24O3,Personal Expenses
801,801,1/01/2021,2021,01-Jan,77.87,Food & Dining,Citi,GrubHub,Take-Out
802,802,7/01/2021,2021,07-Jul,49.06,Food & Dining,Citi,GrubHub,Take-Out
803,803,9/01/2022,2022,09-Sep,-67.66,Shopping,Chase,Amazon,Personal Expenses
